                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3909,                 2.7166,                 1.5028,                0.44386,                0.37294,                0.36324,                0.16502,                 1.7272,                 2.3791,                 1.7522,             0.00023727,             0.00023727,             0.00023727
                      1,                 1.3083,                 1.8745,                 1.4559,                0.60828,                0.44625,                0.47985,                0.22381,                 1.7427,                 2.0313,                 1.7806,             0.00045959,             0.00045959,             0.00045959
                      2,                 1.2703,                 1.7176,                 1.4198,                0.51664,                0.38593,                0.39284,                0.16675,                 1.9885,                 2.2618,                 2.1352,             0.00066619,             0.00066619,             0.00066619
                      3,                 1.2425,                 1.6292,                 1.3976,                0.66489,                0.49671,                0.51222,                0.23575,                 1.8118,                 1.9425,                 1.8955,             0.00064331,             0.00064331,             0.00064331
                      4,                 1.2108,                 1.5583,                 1.3774,                0.63647,                0.51401,                0.54105,                0.24493,                 1.7889,                 1.8406,                 1.8076,             0.00064331,             0.00064331,             0.00064331
                      5,                 1.1923,                 1.4961,                  1.361,                0.76709,                0.49175,                0.58409,                0.26932,                 1.7531,                 1.7209,                  1.804,             0.00061975,             0.00061975,             0.00061975
                      6,                 1.1836,                 1.4304,                 1.3434,                0.72789,                0.53028,                0.59657,                0.29163,                 1.6734,                 1.6641,                 1.7407,             0.00059619,             0.00059619,             0.00059619
                      7,                 1.1454,                 1.3911,                   1.33,                0.75622,                0.54774,                0.60631,                0.27178,                 1.7976,                 1.5997,                 1.7772,             0.00057263,             0.00057263,             0.00057263
                      8,                 1.1455,                 1.3448,                 1.3177,                0.76496,                0.57522,                0.65233,                0.31605,                 1.7236,                 1.5044,                 1.7318,             0.00054907,             0.00054907,             0.00054907
                      9,                   1.13,                 1.3042,                 1.3051,                0.83477,                0.55989,                0.66215,                0.32192,                 1.7309,                 1.4346,                 1.7548,              0.0005255,              0.0005255,              0.0005255
                     10,                 1.1134,                 1.2627,                 1.2921,                0.75375,                0.59612,                0.63912,                  0.316,                 1.6503,                 1.3987,                  1.662,             0.00050194,             0.00050194,             0.00050194
                     11,                 1.0976,                 1.2311,                 1.2837,                0.73712,                0.58577,                0.64263,                0.29996,                 1.8107,                 1.3825,                 1.7601,             0.00047838,             0.00047838,             0.00047838
                     12,                 1.0869,                 1.2049,                 1.2746,                0.83891,                0.57449,                0.66527,                0.34096,                 1.6461,                 1.3527,                 1.6663,             0.00045482,             0.00045482,             0.00045482
                     13,                 1.0746,                 1.1845,                 1.2693,                 0.7614,                0.60327,                0.66116,                  0.338,                 1.7023,                 1.3175,                 1.7413,             0.00043126,             0.00043126,             0.00043126
                     14,                  1.074,                 1.1635,                 1.2594,                0.78514,                 0.6207,                0.68487,                0.35124,                 1.6538,                 1.2879,                 1.6584,             0.00040769,             0.00040769,             0.00040769
                     15,                 1.0612,                 1.1256,                 1.2525,                0.82647,                0.62486,                0.69821,                0.35297,                 1.6719,                 1.2161,                 1.6905,             0.00038413,             0.00038413,             0.00038413
                     16,                 1.0531,                 1.1041,                 1.2448,                0.81288,                 0.6012,                0.66293,                0.34245,                 1.6745,                 1.2894,                 1.6784,             0.00036057,             0.00036057,             0.00036057
                     17,                 1.0241,                 1.0822,                 1.2343,                0.84818,                0.62969,                0.70197,                0.38233,                 1.5498,                 1.1733,                 1.5766,             0.00033701,             0.00033701,             0.00033701
                     18,                 1.0321,                 1.0688,                 1.2343,                0.82978,                0.60999,                0.69055,                0.37713,                 1.5447,                 1.1678,                 1.5901,             0.00031345,             0.00031345,             0.00031345
                     19,                 1.0258,                 1.0515,                 1.2272,                 0.8253,                0.64908,                0.70362,                0.38313,                 1.5228,                 1.1522,                 1.5653,             0.00028988,             0.00028988,             0.00028988
                     20,                 1.0458,                 0.9835,                 1.2415,                0.80599,                0.65055,                0.71672,                0.40174,                 1.4807,                 1.1462,                 1.5232,             0.00026632,             0.00026632,             0.00026632
                     21,                 1.0334,                0.94332,                 1.2309,                0.85668,                0.63373,                 0.7156,                0.39691,                 1.5185,                 1.0935,                 1.5639,             0.00024276,             0.00024276,             0.00024276
                     22,                 1.0163,                0.91332,                 1.2165,                0.86223,                 0.6432,                0.72287,                0.39367,                 1.5001,                 1.1069,                 1.5549,              0.0002192,              0.0002192,              0.0002192
                     23,                 0.9971,                0.89501,                 1.2077,                0.82561,                0.65249,                0.71908,                0.40991,                 1.4473,                 1.0741,                 1.4831,             0.00019564,             0.00019564,             0.00019564
                     24,                0.98853,                0.86835,                 1.2017,                0.85082,                0.65241,                0.72656,                0.39952,                 1.4935,                 1.0727,                 1.5344,             0.00017207,             0.00017207,             0.00017207
                     25,                0.97797,                0.85255,                 1.1934,                 0.8566,                 0.6355,                0.72291,                0.39486,                 1.5167,                 1.0797,                 1.5408,             0.00014851,             0.00014851,             0.00014851
                     26,                0.96688,                0.83844,                 1.1868,                0.84993,                0.65363,                0.72368,                0.40775,                 1.4614,                 1.0635,                  1.514,             0.00012495,             0.00012495,             0.00012495
                     27,                0.95545,                0.82962,                 1.1778,                  0.874,                0.63949,                0.72735,                0.40432,                 1.5124,                 1.0412,                 1.5497,             0.00010139,             0.00010139,             0.00010139
                     28,                0.94542,                0.81039,                 1.1732,                0.86502,                0.66224,                0.74437,                0.41169,                 1.4581,                 1.0215,                 1.5115,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     29,                0.93479,                0.80072,                 1.1657,                0.86618,                0.64312,                0.73403,                0.42068,                 1.4354,                 1.0127,                  1.488,             5.4264e-05,             5.4264e-05,             5.4264e-05
